State,Number of borrowers,Outstanding student debt,Average debt per borrower
District of Columbia,140000,5723949000,40885
Georgia,1454000,44263989000,30443
Maryland,829000,24922989000,30064
Virginia,1058000,30118363000,28467
South Carolina,649000,18347819000,28271
Florida,2457000,68567793000,27907
Vermont,96000,2653160000,27637
Alabama,591000,16306263000,27591
Colorado,793000,21856761000,27562
New York,2821000,77516686000,27478
Oregon,571000,15675594000,27453
Illinois,1809000,49391513000,27303
California,4156000,112268605000,27014
North Carolina,1155000,31072214000,26902
Delaware,121000,3243089000,26802
Tennessee,831000,22193264000,26707
Michigan,1516000,40142155000,26479
Missouri,910000,24077389000,26459
Mississippi,424000,11201544000,26419
Louisiana,633000,16616470000,26250
Hawaii,136000,3504007000,25765
Massachusetts,998000,25569386000,25621
Arizona,885000,22672583000,25619
Washington,813000,20820074000,25609
New Jersey,1206000,30880072000,25605
Pennsylvania,2082000,53303909000,25602
New Mexico,243000,6141828000,25275
Ohio,1970000,49645391000,25201
Alaska,75000,1881227000,25083
Nevada,293000,7291659000,24886
Indiana,993000,24671106000,24845
Idaho,216000,5366110000,24843
Connecticut,511000,12677715000,24810
Kansas,441000,10931144000,24787
Texas,3303000,81850800000,24781
Minnesota,882000,21532722000,24414
Arkansas,372000,9020348000,24248
Oklahoma,518000,12498108000,24128
Nebraska,283000,6823923000,24113
West Virginia,238000,5733243000,24089
New Hampshire,212000,5098210000,24048
Kentucky,604000,14444984000,23916
Maine,204000,4841625000,23733
Wisconsin,815000,19304275000,23686
Iowa,499000,11808493000,23664
Utah,315000,7395075000,23476
Montana,142000,3327214000,23431
South Dakota,133000,3075968000,23128
Rhode Island,157000,3611751000,23005
Wyoming,61000,1384929000,22704
North Dakota,114000,2551225000,22379
